"Id","Chap","Link"
"1","1","https://truyen1.com/chuong1"
"1","2","https://truyen1.com/chuong2"
"1","3","https://truyen1.com/chuong3"
"2","1","https://truyen2.com/chuong1"
"2","2","https://truyen2.com/chuong2"
"2","3","https://truyen2.com/chuong3"
"3","1","https://truyen3.com/chuong1"
"3","2","https://truyen3.com/chuong2"
"3","3","https://truyen3.com/chuong3"
"4","1","https://truyen4.com/chuong1"
"4","2","https://truyen4.com/chuong2"
"4","3","https://truyen4.com/chuong3"
"5","1","https://truyen5.com/chuong1"
"5","2","https://truyen5.com/chuong2"
"5","3","https://truyen5.com/chuong3"
